Company,Title,Link,Salary,Source,Notes
Decision Foundry,Sr Software Engineer - AI Developer Tools,https://jaabz.com/jobs/188014-senior-software-engineer-ai-developer-tools,$184K-$260K,Jaabz,AI-related role
La Fosse / Prediction Markets,Backend Engineer (Go) for Prediction Markets,https://jaabz.com/jobs/214815-backend-engineer-go-predictive-markets-fully-remote,Competitive + Equity,Jaabz,
Salesforge,Senior Backend Engineer - Build AI Agents,https://www.golangprojects.com/golang-remote-job-gmk-Remote-Europe-Senior-Backend-Engineer-Build-AI-Agents-Salesforge-remotejob.html,Competitive,GolangProjects,AI-related role
Cast AI,Senior Software Engineer (Go),https://www.golangprojects.com/golang-remote-jobs.html,78K-108K EUR,GolangProjects,AI-related role
HelloFresh (via Intellias),Senior Golang Engineer,https://career.intellias.com/vacancy/senior-golang-engineer-29990/,Competitive,Intellias,Senior role - matches experience
HelloFresh (via Intellias),Senior Golang Engineer,https://career.intellias.com/vacancy/senior-golang-engineer-29859/,Competitive,Intellias,Senior role - matches experience
Intellias,Senior Go Engineer with Kubernetes,https://career.intellias.com/vacancy/senior-go-engineer-with-kubernetes-skills-29943/,Competitive,Intellias,Senior role - matches experience
Mitek Systems,Senior Software Engineer - Golang and AWS Microservices,https://workinvirtual.com/job/senior-software-engineer-cloud-platform-golang-aws-microservices/,Competitive,WorkinVirtual,Senior role - matches experience
SmartBrain.io,Senior Golang Backend Developer (Docker SQL/NoSQL),https://smartbrain.io/jobs/project/senior-golang-backend-developer-docker-sqlnosql/b94MWzV,Competitive,SmartBrain,Senior role - matches experience
SmartBrain.io,Senior Golang Developer (Microservices GraphQL gRPC),https://smartbrain.io/jobs/project/senior-golang-developer-microservices-graphql-grpc/mVXYyOE,Competitive,SmartBrain,Senior role - matches experience
Lucenia,Senior Software Engineer (Go) - Control Plane,https://hireza.wuaze.com/job/remote-senior-software-engineer-go-control-plane,Competitive,Hireza,Senior role - matches experience
Better (Fintech),Middle Golang Developer (Backend/Platform),https://hireza.wuaze.com/job/remote-middle-golang-developer-backend-platform-2,Competitive,Hireza,
LaunchDarkly-like,Backend Engineer - Mid-Senior Level (Golang),https://hireza.wuaze.com/job/backend-engineer-mid-senior-level-golang,$127K-$204K + RSU,Hireza,Senior role - matches experience
PerfectScale by DoiT,Senior Backend Engineer (Golang),https://hireza.wuaze.com/job/senior-backend-engineergolang-perfectscale-by-doit-3,Competitive,Hireza,Senior role - matches experience
WebSenor,Golang + Node.js Developer,https://websenor.com/jobs/golang-node-js-developer-2/,Competitive,WebSenor,
Ruby Labs,Middle Golang Developer,https://hirequill.liveblog365.com/job/golang-developer-3,Competitive,Hirequill,
